lambda,All,sigma_all,Low_luminosity,sigma_low,Mid_luminosity,sigma_mid,High_luminosity,sigma_high,CIVZ1,sigma_CIVZ1,CIVZ2,sigma_CIVZ2," UVBump",sigma_ UVBump,ScottUV,sigma_ScottUV,CaseUV,sigma_CaseUV
2.376831247042534,44.993,0.81,44.618,0.73,45.01,0.72,45.354,0.74,45.227,0.74,45.494,0.75,45.073,0.35,45.103,0.44,45.775,0.48
2.396831704806206,45.019,0.81,44.642,0.71,45.036,0.71,45.381,0.72,45.254,0.73,45.521,0.74,45.082,0.36,45.132,0.45,45.782,0.49
2.416832162569878,45.045,0.8,44.666,0.7,45.061,0.7,45.407,0.71,45.281,0.72,45.549,0.73,45.092,0.37,45.162,0.45,45.79,0.5
2.436830712984917,45.071,0.79,44.69,0.69,45.087,0.69,45.434,0.7,45.307,0.71,45.577,0.72,45.103,0.38,45.192,0.45,45.798,0.5
2.456831170748589,45.096,0.78,44.714,0.68,45.112,0.67,45.461,0.69,45.334,0.7,45.605,0.71,45.114,0.4,45.222,0.45,45.804,0.51
2.4768316285122607,45.122,0.77,44.738,0.66,45.138,0.66,45.488,0.67,45.36,0.68,45.632,0.69,45.126,0.41,45.252,0.45,45.807,0.51
2.4968320862759326,45.148,0.76,44.762,0.65,45.163,0.65,45.515,0.66,45.387,0.67,45.66,0.68,45.138,0.42,45.282,0.46,45.811,0.51
2.516831590365288,45.174,0.75,44.786,0.64,45.189,0.63,45.542,0.65,45.414,0.66,45.688,0.67,45.152,0.43,45.312,0.46,45.814,0.52
2.53683204812896,45.2,0.75,44.81,0.62,45.215,0.62,45.569,0.63,45.44,0.64,45.715,0.66,45.166,0.44,45.341,0.46,45.818,0.52
2.5568315522183154,45.226,0.74,44.834,0.61,45.24,0.6,45.596,0.62,45.467,0.63,45.743,0.64,45.18,0.46,45.371,0.46,45.819,0.53
2.5768320099819872,45.252,0.73,44.859,0.59,45.266,0.59,45.623,0.6,45.493,0.62,45.771,0.63,45.196,0.47,45.401,0.46,45.819,0.53
2.5968315140713427,45.278,0.72,44.883,0.58,45.291,0.57,45.65,0.59,45.52,0.6,45.799,0.62,45.212,0.48,45.431,0.47,45.819,0.53
2.6168319718350146,45.304,0.71,44.907,0.56,45.317,0.56,45.676,0.57,45.547,0.59,45.826,0.6,45.228,0.49,45.461,0.47,45.819,0.54
2.63683147592437,45.329,0.7,44.931,0.55,45.342,0.54,45.703,0.56,45.573,0.57,45.854,0.59,45.246,0.5,45.491,0.47,45.819,0.54
2.656831933688042,45.355,0.69,44.955,0.53,45.368,0.52,45.73,0.54,45.6,0.56,45.882,0.57,45.263,0.51,45.52,0.47,45.818,0.54
2.6768314377773974,45.381,0.68,44.979,0.52,45.394,0.51,45.757,0.53,45.626,0.54,45.909,0.56,45.282,0.51,45.55,0.47,45.815,0.55
2.6968318955410693,45.407,0.67,45.003,0.5,45.419,0.49,45.784,0.51,45.653,0.53,45.937,0.54,45.3,0.52,45.58,0.48,45.812,0.55
2.7168313996304247,45.433,0.66,45.027,0.48,45.445,0.47,45.811,0.49,45.679,0.51,45.965,0.53,45.32,0.53,45.588,0.48,45.809,0.55
2.7368318573940966,45.459,0.65,45.051,0.46,45.47,0.45,45.838,0.47,45.706,0.49,45.993,0.51,45.339,0.54,45.593,0.49,45.806,0.56
2.756831361483452,45.485,0.64,45.075,0.44,45.496,0.43,45.865,0.45,45.733,0.47,46.02,0.49,45.359,0.55,45.598,0.49,45.802,0.56
2.776831819247124,45.511,0.63,45.099,0.42,45.522,0.41,45.892,0.43,45.759,0.46,46.048,0.48,45.38,0.55,45.603,0.5,45.797,0.56
2.7968313233364794,45.536,0.62,45.124,0.4,45.547,0.38,45.919,0.41,45.786,0.44,46.076,0.46,45.401,0.56,45.608,0.5,45.792,0.56
2.8168317811001513,45.562,0.61,45.148,0.38,45.573,0.36,45.945,0.39,45.812,0.42,46.103,0.44,45.422,0.56,45.613,0.51,45.787,0.57
2.836831285189507,45.588,0.6,45.172,0.35,45.598,0.33,45.972,0.37,45.839,0.4,46.131,0.42,45.443,0.57,45.618,0.51,45.782,0.57
2.8568317429531787,45.614,0.59,45.196,0.33,45.624,0.31,45.999,0.34,45.866,0.37,46.159,0.4,45.465,0.58,45.624,0.52,45.776,0.57
2.876831247042534,45.64,0.58,45.22,0.3,45.649,0.27,46.026,0.32,45.892,0.35,46.187,0.38,45.487,0.58,45.629,0.53,45.769,0.57
2.896831704806206,45.666,0.56,45.244,0.27,45.675,0.24,46.053,0.29,45.919,0.32,46.214,0.35,45.51,0.59,45.634,0.53,45.763,0.57
2.9168312088955615,45.692,0.55,45.268,0.24,45.701,0.2,46.08,0.26,45.945,0.3,46.242,0.33,45.534,0.59,45.639,0.54,45.756,0.58
2.9368316666592333,45.718,0.54,45.27,0.24,45.709,0.19,46.094,0.25,45.966,0.29,46.269,0.33,45.558,0.6,45.644,0.54,45.749,0.58
2.956831170748589,45.743,0.53,45.273,0.24,45.718,0.19,46.109,0.24,45.99,0.29,46.298,0.32,45.583,0.6,45.649,0.55,45.742,0.58
2.9768316285122607,45.769,0.52,45.277,0.24,45.728,0.18,46.124,0.24,46.016,0.28,46.328,0.33,45.608,0.61,45.654,0.56,45.734,0.58
2.9968320862759326,45.759,0.54,45.282,0.24,45.738,0.17,46.139,0.23,46.042,0.28,46.356,0.33,45.632,0.61,45.66,0.56,45.726,0.58
3.016831590365288,45.751,0.56,45.288,0.24,45.749,0.17,46.153,0.23,46.068,0.29,46.382,0.33,45.654,0.62,45.665,0.57,45.717,0.58
