# lambda   continuum             lines                
  1050     1.9361753801149E-5    2.02974770225964E-5  
  1052     1.93043616850086E-5   1.98195251471382E-5  
  1054     1.92472482134771E-5   1.95126442036739E-5  
  1056     1.91904115088114E-5   1.9318348260127E-5   
  1058     1.91338497094461E-5   1.91915592926865E-5  
  1060     1.90775609698241E-5   1.91019195637398E-5  
  1062     1.90215434602284E-5   1.90311641929734E-5  
  1064     1.89657953666173E-5   1.89693509899194E-5  
  1066     1.89103148904606E-5   1.89115445220045E-5  
  1068     1.88551002485783E-5   1.88554981595473E-5  
  1070     1.8800149672981E-5    1.8800270162294E-5   
  1072     1.87454614107127E-5   1.87454955506829E-5  
  1074     1.8691033723695E-5    1.86910427754364E-5  
  1076     1.86368648885735E-5   1.8636867134401E-5   
  1078     1.8582953196566E-5    1.85829537182259E-5  
  1080     1.85292969533124E-5   1.85292970672365E-5  
  1082     1.84758944787269E-5   1.84758945031252E-5  
  1084     1.84227441068514E-5   1.84227441140155E-5  
  1086     1.83698441857107E-5   1.83698441920611E-5  
  1088     1.83171930771701E-5   1.83171930883254E-5  
  1090     1.8264789156794E-5    1.82647891784051E-5  
  1092     1.82126308137068E-5   1.82126308555458E-5  
  1094     1.81607164504544E-5   1.81607165306677E-5  
  1096     1.81090444828691E-5   1.81090446350464E-5  
  1098     1.80576133399343E-5   1.80576136256068E-5  
  1100     1.80064214636519E-5   1.80064219942917E-5  
  1102     1.79554673089111E-5   1.79554682842239E-5  
  1104     1.79047493433586E-5   1.79047511171424E-5  
  1106     1.78542660472705E-5   1.78542692393237E-5  
  1108     1.78040159134251E-5   1.78040215974011E-5  
  1110     1.77539974469784E-5   1.77540074618883E-5  
  1112     1.77042091653401E-5   1.77042266257541E-5  
  1114     1.76546495980513E-5   1.76546797194205E-5  
  1116     1.76053172866636E-5   1.76053687037623E-5  
  1118     1.75562107846199E-5   1.75562976312777E-5  
  1120     1.75073286571363E-5   1.750747380523E-5    
  1122     1.74586694810855E-5   1.74589095203278E-5  
  1124     1.74102318448816E-5   1.74106246397835E-5  
  1126     1.7362014348366E-5    1.73626503556974E-5  
  1128     1.73140156026948E-5   1.73150345954251E-5  
  1130     1.72662342302279E-5   1.72678496773007E-5  
  1132     1.72186688644185E-5   1.72212029837739E-5  
  1134     1.71713181497045E-5   1.71752516037679E-5  
